geneID	Description	Pathway
100274579	umc1110; Phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279194	pco084078; uncharacterized protein LOC100279194	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279231	uncharacterized protein LOC100279231	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279373	cl10585_1b; uncharacterized protein LOC100279373	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279403	cl25115_1; uncharacterized protein LOC100279403	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279587	uncharacterized protein LOC100279587	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100279748	pck2; phosphoenolpyruvate carboxykinase homolog 2	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280296	uncharacterized protein LOC100280296	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280449	gpm893; uncharacterized protein LOC100280449	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280692	pco083188b; uncharacterized protein LOC100280692	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280694	pyrophosphate--fructose 6-phosphate 1-phosphotransferase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100280823	triosephosphate isomerase, cytosolic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281068	fructose-1,6-bisphosphatase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281089	IDP708; uncharacterized protein LOC100281089	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281237	phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281464	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281585	6-phosphofructokinase 2	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281592	glucose-6-phosphate isomerase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281688	6-phosphofructokinase 2	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100281700	aldehyde dehydrogenase, dimeric NADP-preferring	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282190	gpm74; uncharacterized protein LOC100282190	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282233	pco116203; uncharacterized protein LOC100282233	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282376	apospory-associated protein C	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282503	cl2158_1; L-lactate dehydrogenase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282738	apospory-associated protein C	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282748	aldehyde dehydrogenase family 7 member A1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282752	pco070011; uncharacterized protein LOC100282752	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282820	umc2053; uncharacterized protein LOC100282820	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282868	pco091084; uncharacterized protein LOC100282868 precursor	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100282981	pco070235b; uncharacterized protein LOC100282981	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100283171	aldose 1-epimerase precursor	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100283280	enolase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100283452	pyruvate kinase, cytosolic isozyme	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100283735	hexokinase-1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100283889	pyruvate dehydrogenase E1 component alpha subunit	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100283899	pyruvate kinase, cytosolic isozyme	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100284103	pyruvate dehydrogenase E1 component subunit beta	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100284493	dla1; dihydrolipoamide S-acetyltransferase 1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100284555	phosphoglycerate mutase gpmB	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100284739	fructose-1,6-bisphosphatase, cytosolic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100284774	aldehyde dehydrogenase 3B1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100285548	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100285796	dihydrolipoyllysine-residue acetyltransferase component of pyruvatedehydrogenase complex	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100285809	aldehyde dehydrogenase, dimeric NADP-preferring	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100285932	hexokinase-1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100286050	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100381624	phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100381658	23-bisphosphoglycerate-independent phosphoglycerate mutase 1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100381673	TIDP2673; uncharacterized protein LOC100381673	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100381818	uncharacterized protein LOC100381818	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100382182	ppi-phosphofructokinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100382449	uncharacterized protein LOC100382449	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100382805	uncharacterized protein LOC100382805	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100383094	uncharacterized protein LOC100383094 precursor	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100383528	phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100383565	putative alcohol dehydrogenase superfamily protein	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100383599	uncharacterized protein LOC100383599	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100383712	uncharacterized protein LOC100383712 precursor	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100383851	csu340; uncharacterized protein LOC100383851	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100501719	uncharacterized protein LOC100501719	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100502020	fructose-bisphosphate aldolase 3, chloroplastic	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
100502326	enolase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
101027252	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha isoform X1	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
103625686	aldose reductase	Glycolysis / Gluconeogenesis - Zea mays (maize)	http://rest.kegg.jp/get/zma00010/image
