geneID	Description	Pathway
100830661	phosphoenolpyruvate carboxykinase (ATP)	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100830749	pyruvate kinase isozyme G, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100830961	phosphoglycerate mutase-like protein 4	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100830979	dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100831288	aldehyde dehydrogenase family 7 member A1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100831816	multiple inositol polyphosphate phosphatase 1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100831948	phosphoglycerate kinase, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100832143	hexokinase-7	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100832659	alcohol dehydrogenase-like 3	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100832935	fructose-bisphosphate aldolase 5, cytosolic isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100833155	aldehyde dehydrogenase family 2 member B7, mitochondrial	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100833293	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100833307	2,3-bisphosphoglycerate-independent phosphoglycerate mutase isoform X2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100833338	ATP-dependent 6-phosphofructokinase 2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100833448	uncharacterized protein LOC100833448	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100833891	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100834031	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase isoform X2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100834106	fructose-1,6-bisphosphatase, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100834458	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100834645	enolase 1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100834647	pyruvate kinase isozyme A, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100834905	fructose-bisphosphate aldolase 1, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835217	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835291	hexokinase-4, chloroplastic isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835293	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835392	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835468	pyruvate kinase isozyme A, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835764	acetate/butyrate--CoA ligase AAE7, peroxisomal	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835788	pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100835945	aldehyde dehydrogenase family 3 member F1 isoform X2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100836068	acetate/butyrate--CoA ligase AAE7, peroxisomal isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100836194	fructose-bisphosphate aldolase, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100836459	aldehyde dehydrogenase family 3 member F1 isoform X2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100836478	ATP-dependent 6-phosphofructokinase 5, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100836623	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100836807	pyruvate kinase 1, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837013	ATP-dependent 6-phosphofructokinase 5, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837094	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837243	hexokinase-8	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837503	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837564	dihydrolipoyl dehydrogenase 2, chloroplastic isoform X2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837902	enolase	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100837912	pyruvate kinase, cytosolic isozyme	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100838090	hexokinase-2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100838190	phosphoglucomutase, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100838531	alcohol dehydrogenase-like 7	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100838646	glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100838748	uncharacterized protein LOC100838748 isoform X1	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100839371	glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100839523	dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100839844	acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100839985	ATP-dependent 6-phosphofructokinase 3	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100840157	enolase 2	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
100840260	alcohol dehydrogenase 3	Glycolysis / Gluconeogenesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00010/image
