geneID	Description	Pathway
100782004	dihydrolipoyl dehydrogenase 2, chloroplastic	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782019	aldehyde dehydrogenase family 2 member B7, mitochondrial	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782127	hexokinase-2, chloroplastic	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782166	ATP-dependent 6-phosphofructokinase 3	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782415	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782696	putative glucose-6-phosphate 1-epimerase isoform X1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782747	pyruvate decarboxylase 2	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782857	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100782924	uncharacterized protein LOC100782924	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100783089	putative fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100783175	hexokinase-1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100783318	alcohol dehydrogenase	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100783726	aldehyde dehydrogenase family 3 member H1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100783774	hexokinase-1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
100783775	hexokinase-1	Glycolysis / Gluconeogenesis - Glycine max (soybean)	http://rest.kegg.jp/get/gmx00010/image
