geneID	Description	Pathway
100231202	ALDH1A3; aldehyde dehydrogenase 1 family member A3	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100231264	PDHB; pyruvate dehydrogenase (lipoamide) beta	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100231650	ENO2; enolase 2	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100231891	alpha-enolase	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100231913	GALM; galactose mutarotase	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100232072	ENO4; enolase family member 4	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100232212	HKDC1; hexokinase domain containing 1	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100232264	phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100232483	ALDH3B1; aldehyde dehydrogenase family 3 member B1	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
101233004	ATP-dependent 6-phosphofructokinase, muscle type-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
101233624	alcohol dehydrogenase class-3-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
101233732	hexokinase-2-like	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
101233861	G6PC; glucose-6-phosphatase	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
101233932	PGAM1; phosphoglycerate mutase 1	Glycolysis / Gluconeogenesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00010/image
100190381	malate dehydrogenase cytoplasmic-like	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100190484	MDH2; malate dehydrogenase 2	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100190642	SDHB; succinate dehydrogenase complex iron sulfur subunit B	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100190674	succinate dehydrogenase complex subunit D-like	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100190682	IDH3A; isocitrate dehydrogenase 3 (NAD(+)) alpha	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100217509	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100217618	FH; fumarate hydratase	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100220748	IDH1; isocitrate dehydrogenase (NADP(+)) 1, cytosolic	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100221470	DLAT; dihydrolipoamide S-acetyltransferase	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100221719	ACLY; ATP citrate lyase	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100224467	SUCLG1; succinate-CoA ligase alpha subunit	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100224627	IDH3B; isocitrate dehydrogenase 3 (NAD(+)) beta	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100224850	PCK1, PEPCK; phosphoenolpyruvate carboxykinase 1	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100225079	PDHA1; pyruvate dehydrogenase (lipoamide) alpha 1	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100225534	SUCLG2; succinate-CoA ligase GDP-forming beta subunit	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100226824	DLST; dihydrolipoamide S-succinyltransferase	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100227041	OGDHL; oxoglutarate dehydrogenase-like	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100227287	ACO2; aconitase 2	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100227336	SUCLA2; succinate-CoA ligase ADP-forming beta subunit	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100227513	ACO1; aconitase 1	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100229811	OGDH; oxoglutarate dehydrogenase	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100230079	SDHA; succinate dehydrogenase complex flavoprotein subunit A	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100230199	DLD; dihydrolipoamide dehydrogenase	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100231264	PDHB; pyruvate dehydrogenase (lipoamide) beta	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
101232963	succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial-like	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100190055	6-phosphogluconolactonase-like	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100219012	FBP2; fructose-bisphosphatase 2	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100220154	TKT; transketolase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100220560	PFKL; phosphofructokinase, liver type	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100220744	PFKM; phosphofructokinase, muscle	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100221811	PGM2; phosphoglucomutase 2	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100222163	PGM1; phosphoglucomutase 1	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100222802	FBP1; fructose-bisphosphatase 1	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100223088	DERA; deoxyribose-phosphate aldolase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100224913	IDNK; IDNK, gluconokinase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100227197	RPE; ribulose-5-phosphate-3-epimerase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100227328	ALDOB; aldolase, fructose-bisphosphate B	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100228049	H6PD; hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100228162	PRPS1; ribose-phosphate pyrophosphokinase 1	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100228882	PRPS2; phosphoribosyl pyrophosphate synthetase 2	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100229947	PFKP; phosphofructokinase, platelet	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100230152	RPIA; ribose 5-phosphate isomerase A	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100230441	RGN; regucalcin	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100230521	RBKS; ribokinase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100230701	GLYCTK; glycerate kinase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100231122	GPI; glucose-6-phosphate isomerase	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100232597	TALDO1; transaldolase 1	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
