geneID	Description	Pathway
Dmel_CG6598	Fdh; formaldehyde dehydrogenase	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG6650	CG6650; uncharacterized protein, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7010	l(1)G0334; lethal (1) G0334, isoform A	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7024	CG7024; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7059	CG7059; uncharacterized protein, isoform A	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7069	CG7069; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7070	PyK; pyruvate kinase, isoform A	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7362	CG7362; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG7430	CG7430; uncharacterized protein, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG8073	Pmm45A; phosphomannomutase 45A	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG8094	Hex-C; hexokinase C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG8251	Pgi; phosphoglucose isomerase, isoform A	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG8893	Gapdh2; glyceraldehyde 3 phosphate dehydrogenase 2, isoform C	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG9008	CG9008; uncharacterized protein, isoform D	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG9010	CG9010; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG9390	AcCoAS; acetyl coenzyme A synthase, isoform D	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG9629	CG9629; uncharacterized protein	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG9961	CG9961; uncharacterized protein, isoform B	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG10219	SdhD; succinate dehydrogenase, subunit D	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG10622	Sucb; sucb, isoform C	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG1065	Scsalpha; succinyl coenzyme A synthetase alpha subunit, isoform B	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG10748	CG10748; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG10749	CG10749; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG10924	CG10924; uncharacterized protein, isoform B	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG11661	Nc73EF; neural conserved at 73EF, isoform I	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG11876	CG11876; uncharacterized protein, isoform D	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG11963	skap; skpA associated protein, isoform B	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG12233	l(1)G0156; lethal (1) G0156, isoform D	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG14740	CG14740; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG1516	PCB; pyruvate carboxylase, isoform M	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG17246	SdhA; succinate dehydrogenase, subunit A (flavoprotein), isoform A	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG17725	Pepck; phosphoenolpyruvate carboxykinase	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG31874	CG31874; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG32026	CG32026; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG3283	SdhB; succinate dehydrogenase, subunit B (iron-sulfur)	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG33791	CG33791; uncharacterized protein, isoform C	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
Dmel_CG3483	CG3483; uncharacterized protein	Citrate cycle (TCA cycle) - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00020/image
