geneID	Description	Pathway
4330747	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4331130	alcohol dehydrogenase class-3	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4331893	alcohol dehydrogenase-like 7	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4331894	alcohol dehydrogenase-like 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332253	enolase-like	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332293	phosphoenolpyruvate carboxykinase [ATP]	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332356	cytosolic enolase 3	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332364	fructose-1,6-bisphosphatase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332519	pyruvate decarboxylase 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332592	acetate/butyrate--CoA ligase AAE7, peroxisomal	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332593	acetate/butyrate--CoA ligase AAE7, peroxisomal	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332728	2,3-bisphosphoglycerate-independent phosphoglycerate mutase isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4332976	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4333564	pyruvate dehydrogenase E1 component subunit beta-4, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4333694	plastidial pyruvate kinase 1, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4333895	phosphoglucomutase, cytoplasmic 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4334290	glucose-6-phosphate isomerase, cytosolic A	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4334577	multiple inositol polyphosphate phosphatase 1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4334968	pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4335745	acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4336037	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4336039	aldose 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4336113	LOW QUALITY PROTEIN: ATP-dependent 6-phosphofructokinase 2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4336216	glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4336538	aldehyde dehydrogenase family 3 member F1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4337265	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4337406	pyruvate kinase, cytosolic isozyme	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4337862	dihydrolipoyl dehydrogenase 1, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4337881	dihydrolipoyl dehydrogenase, mitochondrial	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4338010	hexokinase-7	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4338034	ATP-dependent 6-phosphofructokinase 6	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4338737	fructose-bisphosphate aldolase cytoplasmic isozyme	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4338912	fructose-1,6-bisphosphatase, cytosolic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339066	pyruvate decarboxylase 1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339068	pyruvate decarboxylase 1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339133	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339204	phosphoglycerate kinase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339361	hexokinase-5	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339369	ATP-dependent 6-phosphofructokinase 6	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339420	hexokinase-2	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339654	putative glucose-6-phosphate 1-epimerase	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339856	L-lactate dehydrogenase B	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4339859	dihydrolipoyllysine-residue acetyltransferase component 3 of pyruvate dehydrogenase complex, mitochondrial isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340042	enolase 1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340153	ATP-dependent 6-phosphofructokinase 3	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340640	pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340643	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340677	glucose-6-phosphate isomerase, cytosolic B	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340725	aldehyde dehydrogenase family 2 member B7, mitochondrial	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4340909	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4341113	dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4341496	fructose-bisphosphate aldolase, cytoplasmic isozyme 1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4341770	fructose-1,6-bisphosphatase, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4341782	glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4341792	phosphoglycerate kinase, cytosolic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4342564	pyruvate kinase isozyme A, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4342654	hexokinase-4, chloroplastic	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4343003	dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial isoform X1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
4343113	hexokinase-1	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00010/image
