geneID	Description	Pathway
100738344	PKLR; pyruvate kinase PKLR isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100738870	ENO1; alpha-enolase isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100739347	ALDH3B1; aldehyde dehydrogenase family 3 member B1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
102162530	ALDH1A3; aldehyde dehydrogenase family 1 member A3	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
106504110	ALDH7A1; alpha-aminoadipic semialdehyde dehydrogenase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
106506774	BPGM; bisphosphoglycerate mutase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
110260081	ALDOA; fructose-bisphosphate aldolase A isoform X1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
396673	PGK2; phosphoglycerate kinase 2	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
396823	GAPDH; glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
396924	AKR1A1; alcohol dehydrogenase [NADP(+)]	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
397038	FBP1; fructose-1,6-bisphosphatase 1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
397054	DLAT; dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial precursor	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
397129	DLD; dihydrolipoyl dehydrogenase, mitochondrial precursor	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
397566	PGM1; phosphoglucomutase-1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
397602	GPI; glucose-6-phosphate isomerase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
399536	GALM; aldose 1-epimerase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
403165	PCK2; phosphoenolpyruvate carboxykinase [GTP], mitochondrial	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
407245	LDHA; L-lactate dehydrogenase A chain	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
407608	PGK1; phosphoglycerate kinase 1	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
494561	HK2; hexokinase-2	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
692156	ENO3; beta-enolase	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
733601	PFKM; ATP-dependent 6-phosphofructokinase, muscle type	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
733685	ALDH2; aldehyde dehydrogenase, mitochondrial precursor	Glycolysis / Gluconeogenesis - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00010/image
100048954	SDHD; succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	Citrate cycle (TCA cycle) - Sus scrofa (pig)	http://rest.kegg.jp/get/ssc00020/image
