1	1
100009667	100009667
100009676	100009676
10	10
100	100
1000	1000
10000	10000
100008586	100008586
100008587	100008587
100008588	100008588
100008589	100008589
100009613	100009613
10001	10001
10002	10002
10003	10003
100033413	100033413
100033414	100033414
100033415	100033415
100033416	100033416
100033417	100033417
100033418	100033418
100033419	100033419
100033420	100033420
100033421	100033421
100033422	100033422
100033423	100033423
100033424	100033424
100033425	100033425
100033426	100033426
100033427	100033427
100033428	100033428
100033429	100033429
100033430	100033430
100033431	100033431
100033432	100033432
100033433	100033433
100033434	100033434
100033435	100033435
100033436	100033436
100033437	100033437
100033438	100033438
100033439	100033439
100033440	100033440
100033411	100033411
100033441	100033441
100033442	100033442
100033443	100033443
100033444	100033444
100033445	100033445
100033446	100033446
100033447	100033447
100033448	100033448
100033449	100033449
100033450	100033450
100033451	100033451
100033453	100033453
100033454	100033454
100033455	100033455
100033456	100033456
100033458	100033458
100033460	100033460
100033603	100033603
100033799	100033799
100033800	100033800
100033801	100033801
100033802	100033802
100033803	100033803
100033804	100033804
100033805	100033805
100033806	100033806
100033807	100033807
100033808	100033808
100033809	100033809
100033810	100033810
100033811	100033811
100033812	100033812
100033813	100033813
100033814	100033814
100033815	100033815
100033816	100033816
100033817	100033817
100033818	100033818
100033820	100033820
100033821	100033821
100033822	100033822
100034743	100034743
100036563	100036563
100036564	100036564
100036565	100036565
100036566	100036566
100036567	100036567
100037417	100037417
100038246	100038246
10004	10004
100049076	100049076
100049587	100049587
100049716	100049716
10005	10005
100073347	100073347
10008	10008
100033819	100033819
100048912	100048912
10006	10006
10007	10007
100093630	100093630
100093698	100093698
1001	1001
100101115	100101115
100101116	100101116
100101117	100101117
100101118	100101118
100101120	100101120
100101121	100101121
100101148	100101148
100101266	100101266
10009	10009
100093631	100093631
10010	10010
100101267	100101267
100101440	100101440
100101467	100101467
100101478	100101478
10011	10011
100113378	100113378
100113379	100113379
100113380	100113380
100113381	100113381
100113384	100113384
100113386	100113386
100113389	100113389
100113392	100113392
100113393	100113393
100113402	100113402
100113403	100113403
100113404	100113404
100124412	100124412
100124516	100124516
100124533	100124533
100124534	100124534
100124535	100124535
