A0A072TL89	MTR_0004s0510
A0A072TVT4	MTR_0004s0530
A0A072TKA7	MTR_0004s0600
A0A072TVU0	MTR_0004s0610
A0A072TKB2	MTR_0004s0650
A0A072TVQ1	MTR_0005s0110
A0A072TJ62	MTR_0005s0070
G7JUR4	MTR_0005s0130
A0A072TJK7	MTR_0005s0140
A0A072TL65	MTR_0005s0150
A0A072TJ66	MTR_0005s0160
A0A072TVQ8	MTR_0005s0200
A0A072TK94	MTR_0005s0210
A0A072TJK8	MTR_0005s0220
A0A072TL69	MTR_0005s0230
A0A072TJ71	MTR_0005s0240
A0A072TVR3	MTR_0005s0250
A0A072TK96	MTR_0005s0260
A0A072TVN6	MTR_0006s0020
A0A072TK79	MTR_0006s0080
A0A072TJJ9	MTR_0006s0110
A0A072TL48	MTR_0006s0140
A0A072TJ50	MTR_0006s0160
A0A072TVP1	MTR_0006s0180
A0A072TK81	MTR_0006s0190
A0A072TJK2	MTR_0006s0210
A0A072TL54	MTR_0006s0230
A0A072TJ51	MTR_0006s0240
A0A072TVP7	MTR_0006s0250
A0A072TK82	MTR_0006s0260
A0A072TJK4	MTR_0006s0290
A0A072TL59	MTR_0006s0300
A0A072TK58	MTR_0007s0020
A0A072TVJ8	MTR_0007s0010
A0A072TJF0	MTR_0007s0030
A0A072TL23	MTR_0007s0040
A0A072TJ11	MTR_0007s0060
A0A072TVL5	MTR_0007s0070
A0A072TK66	MTR_0007s0080
A0A072TJG1	MTR_0007s0090
A0A072TL26	MTR_0007s0140
A0A072TJ22	MTR_0007s0150
A0A072TVM0	MTR_0007s0160
A0A072TK71	MTR_0007s0220
A0A072TJG6	MTR_0007s0250
A0A072TL32	MTR_0007s0290
A0A072TJ26	MTR_0007s0310
A0A072TVM8	MTR_0007s0320
A0A072TK73	MTR_0007s0330
A0A072TL37	MTR_0007s0380
A0A072TJ28	MTR_0007s0390
A0A072TVN1	MTR_0007s0410
A0A072TK77	MTR_0007s0440
A0A072TJJ1	MTR_0007s0450
A0A072TL43	MTR_0007s0480
A0A072TJ43	MTR_0007s0520
A0A072TIZ6	MTR_0008s0060
A0A072TL05	MTR_0008s0030
A0A072TVI4	MTR_0008s0110
A0A072TK39	MTR_0008s0120
A0A072TJE0	MTR_0008s0130
A0A072TL07	MTR_0008s0160
A0A072TIZ8	MTR_0008s0170
A0A072TVI8	MTR_0008s0180
A0A072TK43	MTR_0008s0210
A0A072TJE4	MTR_0008s0230
A0A072TL12	MTR_0008s0280
A0A072TJ02	MTR_0008s0310
A0A072TVJ3	MTR_0008s0340
A0A072TK55	MTR_0008s0390
A0A072TJE6	MTR_0008s0430
A0A072TL17	MTR_0008s0460
A0A072TJ06	MTR_0008s0470
A0A072TKY0	MTR_0009s0040
A0A072TJA0	MTR_0009s0020
A0A072TIY1	MTR_0009s0050
A0A072TIY5	MTR_0009s0080
A0A072TVG1	MTR_0009s0100
A0A072TK16	MTR_0009s0120
A0A072TJA9	MTR_0009s0150
A0A072TKY8	MTR_0009s0190
A0A072TIY7	MTR_0009s0230
A0A072TK20	MTR_0009s0240
A0A072TJB5	MTR_0009s0250
A0A072TKZ2	MTR_0009s0270
A0A072TIZ0	MTR_0009s0290
A0A072TVH1	MTR_0009s0330
A0A072TK22	MTR_0009s0340
A0A072TK22	MTR_0009s0350
A0A072TKZ7	MTR_0009s0370
A0A072TIZ2	MTR_0009s0380
A0A072TVH5	MTR_0009s0390
A0A072TK27	MTR_0009s0400
A0A072TJC7	MTR_0009s0410
A0A072TL01	MTR_0009s0480
A0A072TVH8	MTR_0009s0490
A0A072TK29	MTR_0009s0500
A0A072TK01	MTR_0010s0050
A0A072TJ88	MTR_0010s0110
A0A072TKW7	MTR_0010s0130
A0A072TIW9	MTR_0010s0190
A0A072TVE5	MTR_0010s0200
A0A072TK02	MTR_0010s0210
A0A072TJ92	MTR_0010s0220
A0A072TKX2	MTR_0010s0270
A0A072TIX4	MTR_0010s0290
A0A072TVE9	MTR_0010s0310
A0A072TK04	MTR_0010s0320
A0A072TIX8	MTR_0010s0350
A0A072TKX7	MTR_0010s0360
A0A072TIX8	MTR_0010s0370
A0A072TVF3	MTR_0010s0390
A0A072TK07	MTR_0010s0400
A0A072TVD1	MTR_0011s0020
A0A072TJZ0	MTR_0011s0100
A0A072TJ79	MTR_0011s0210
A0A072TKV8	MTR_0011s0260
A0A072TIW5	MTR_0011s0270
A0A072TVD7	MTR_0011s0280
A0A072TJZ4	MTR_0011s0290
A0A072TJ84	MTR_0011s0300
A0A072TKW3	MTR_0011s0310
A0A072TIW6	MTR_0011s0320
I3SXG0	MTR_0011s0330
A0A072TJ64	MTR_0012s0090
A0A072TJY5	MTR_0012s0070
A0A072TKU5	MTR_0012s0100
A0A072TIV0	MTR_0012s0110
A0A072TVC2	MTR_0012s0140
A0A072TJY7	MTR_0012s0150
A0A072TJ70	MTR_0012s0160
G7ZYB9	MTR_0012s0170
G7ZYB5	MTR_0012s0220
A0A072TVC7	MTR_0012s0240
A0A072TJY8	MTR_0012s0280
A0A072TJ75	MTR_0012s0290
A0A072TKT2	MTR_0013s0060
A0A072TIU2	MTR_0013s0070
A0A072TVB0	MTR_0013s0080
A0A072TJX8	MTR_0013s0100
A0A072TJ58	MTR_0013s0120
A0A072TKT5	MTR_0013s0130
A0A072TIU5	MTR_0013s0150
