source	ID	GO
GPL2810	A000049_01	GO:0016020
GPL2810	A000049_01	GO:0022857
GPL2810	A000050_01	GO:0004563
GPL2810	A000050_01	GO:0005886
GPL2810	A000050_01	GO:0005975
GPL2810	A000050_01	GO:0009505
GPL2810	A000051_01	GO:0005488
GPL2810	A000051_01	GO:0005829
GPL2810	A000051_01	GO:0005982
GPL2810	A000051_01	GO:0005991
GPL2810	A000052_01	GO:0005488
GPL2810	A000052_01	GO:0005634
GPL2810	A000052_01	GO:0005886
GPL2810	A000052_01	GO:0006511
GPL2810	A000052_01	GO:0008540
GPL2810	A000052_01	GO:0030234
GPL2810	A000054_01	GO:0005575
GPL2810	A000054_01	GO:0008270
GPL2810	A000054_01	GO:0016491
GPL2810	A000054_01	GO:0055114
GPL2810	A000055_01	GO:0003674
GPL2810	A000055_01	GO:0009733
GPL2810	A000056_01	GO:0003674
GPL2810	A000056_01	GO:0008150
GPL2810	A000056_01	GO:0012505
GPL2810	A000057_01	GO:0003724
GPL2810	A000057_01	GO:0005575
GPL2810	A000057_01	GO:0009616
GPL2810	A000058_01	GO:0003674
GPL2810	A000058_01	GO:0008150
GPL2810	A000059_01	GO:0005886
GPL2810	A000059_01	GO:0009414
GPL2810	A000059_01	GO:0010167
GPL2810	A000059_01	GO:0015112
GPL2810	A000059_01	GO:0015706
GPL2810	A000060_01	GO:0003674
GPL2810	A000060_01	GO:0005575
GPL2810	A000060_01	GO:0008150
GPL2810	A000061_01	GO:0005488
GPL2810	A000061_01	GO:0008150
GPL2810	A000062_01	GO:0009507
GPL2810	A000062_01	GO:0009637
GPL2810	A000062_01	GO:0010218
GPL2810	A000062_01	GO:0015979
GPL2810	A000062_01	GO:0016020
GPL2810	A000062_01	GO:0016168
GPL2810	A000062_01	GO:0030076
GPL2810	A000063_01	GO:0003674
GPL2810	A000063_01	GO:0008150
GPL2810	A000063_01	GO:0009507
GPL2810	A000064_01	GO:0007010
GPL2810	A000064_01	GO:0008017
GPL2810	A000064_01	GO:0010005
GPL2810	A000065_01	GO:0005545
GPL2810	A000065_01	GO:0030118
