geneID	Description	Pathway	Pathway_map
418610	PDHA1; pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial precursor	Carbon metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01200/image
418611	ADGRG2; adhesion G-protein coupled receptor G2	-	-
415431	SLC24A5; solute carrier family 24, member 5 precursor	-	-
415430	SEMA6D; semaphorin-6D isoform X2	-	-
415433	SLC12A1; solute carrier family 12 member 1 isoform X2	-	-
415432	MYEF2; myelin expression factor 2	-	-
418618	TXLNG; gamma-taxilin isoform X1	-	-
418619	SYAP1; synapse-associated protein 1	-	-
427566	ATXN1L; ataxin-1-like	-	-
427567	CHST4; carbohydrate sulfotransferase 4	Glycosaminoglycan biosynthesis - keratan sulfate - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00533/image
427564	HAS3; hyaluronan synthase 3 isoform X2	-	-
427562	MC1R; melanocyte-stimulating hormone receptor	Neuroactive ligand-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04080/image
427562	MC1R; melanocyte-stimulating hormone receptor	Melanogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04916/image
112533561	uncharacterized protein LOC112533561	-	-
427561	ACSF3; acyl-CoA synthetase family member 3, mitochondrial isoform X2	Valine, leucine and isoleucine degradation - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00280/image
427569	AC108938.5; LIM and senescent cell antigen-like-containing domain protein 1-like	-	-
395238	WFDC1; WAP four-disulfide core domain protein 1 precursor	-	-
395239	KCNIP4; Kv channel-interacting protein 4	-	-
395232	EIF4A2; eukaryotic initiation factor 4A-II	RNA transport - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03013/image
395233	DYRK1A; dual specificity tyrosine-phosphorylation-regulated kinase 1A	-	-
395230	TCF7L1; transcription factor 7-like 1 isoform X1	Wnt signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04310/image
395230	TCF7L1; transcription factor 7-like 1 isoform X1	Adherens junction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04520/image
395230	TCF7L1; transcription factor 7-like 1 isoform X1	Melanogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04916/image
395231	HOXA3; homeobox protein Hox-A3	-	-
395236	BID; BH3-interacting domain death agonist	p53 signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04115/image
395236	BID; BH3-interacting domain death agonist	Apoptosis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04210/image
395236	BID; BH3-interacting domain death agonist	Necroptosis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04217/image
395237	SFRP1; secreted frizzled-related protein 1 precursor	Wnt signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04310/image
395234	INVS; inversin	Wnt signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04310/image
395235	WNT6; protein Wnt-6	mTOR signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04150/image
395235	WNT6; protein Wnt-6	Wnt signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04310/image
395235	WNT6; protein Wnt-6	Melanogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04916/image
422545	CFAP97; cilia- and flagella-associated protein 97 isoform X3	-	-
101750470	uncharacterized LOC101750470	-	-
416167	WWC1; protein KIBRA	-	-
416165	MAT2B; methionine adenosyltransferase 2 subunit beta	Cysteine and methionine metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00270/image
416165	MAT2B; methionine adenosyltransferase 2 subunit beta	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
416165	MAT2B; methionine adenosyltransferase 2 subunit beta	Biosynthesis of amino acids - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01230/image
416162	NUDCD2; nudC domain-containing protein 2	-	-
416163	HMMR; hyaluronan mediated motility receptor	ECM-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04512/image
101750476	uncharacterized LOC101750476, transcript variant X1	-	-
416161	CCNG1; cyclin-G1	p53 signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04115/image
415330	TRIP4; activating signal cointegrator 1 isoform X2	-	-
416168	RARS; arginine--tRNA ligase, cytoplasmic	Aminoacyl-tRNA biosynthesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00970/image
416169	rho GTPase-activating protein 7-like isoform X1	-	-
101751422	uncharacterized LOC101751422, transcript variant X3	-	-
101751423	uncharacterized protein LOC101751423	-	-
771269	HHAT; protein-cysteine N-palmitoyltransferase HHAT	-	-
771265	CBLN1; cerebellin-1	-	-
771262	FBXO16; F-box only protein 16	-	-
771260	SRCRB4D; scavenger receptor cysteine-rich domain-containing group B protein	-	-
430280	HSPB7; heat shock protein beta-7	-	-
112532875	insulin receptor substrate 4-like	-	-
100858014	EMILIN1; LOW QUALITY PROTEIN: EMILIN-1	-	-
100858010	A2ML4; alpha-2-macroglobulin-like protein 1	-	-
428332	SIRT6; NAD-dependent protein deacetylase sirtuin-6	-	-
428333	CREB3L3; cyclic AMP-responsive element-binding protein 3-like protein 3 isoform X1	Adrenergic signaling in cardiomyocytes - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04261/image
428333	CREB3L3; cyclic AMP-responsive element-binding protein 3-like protein 3 isoform X1	Melanogenesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04916/image
428330	SEMA6B; semaphorin-6B precursor	-	-
428331	ANKRD24; ankyrin repeat domain-containing protein 24 isoform X1	-	-
428337	ACTL9; actin-like protein 9	-	-
428334	C2CD4C; C2 calcium-dependent domain-containing protein 4C	-	-
428335	hippocampus abundant transcript 1 protein	-	-
428339	DUS3L; tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	-	-
420101	TMEM259; membralin isoform X1	-	-
420100	WDR18; WD repeat-containing protein 18	-	-
420103	POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Purine metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00230/image
420103	POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Pyrimidine metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00240/image
420103	POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
420103	POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	RNA polymerase - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03020/image
420103	POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Cytosolic DNA-sensing pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04623/image
420102	ARHGAP45; minor histocompatibility protein HA-1	-	-
420105	STK11; serine/threonine-protein kinase STK11	FoxO signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04068/image
420105	STK11; serine/threonine-protein kinase STK11	Autophagy - animal - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04140/image
420105	STK11; serine/threonine-protein kinase STK11	mTOR signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04150/image
420105	STK11; serine/threonine-protein kinase STK11	Tight junction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04530/image
420105	STK11; serine/threonine-protein kinase STK11	Adipocytokine signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04920/image
420104	SBNO2; protein strawberry notch homolog 2 isoform X3	-	-
