geneID	Description	Pathway	Pathway_map
4334689	probable polygalacturonase isoform X1	-	-
4346111	GDT1-like protein 4	-	-
4350786	BI1-like protein	-	-
107277674	uncharacterized LOC107277674	-	-
107277675	uncharacterized protein LOC107277675	-	-
107277676	uncharacterized protein LOC107277676	-	-
107277670	mediator of RNA polymerase II transcription subunit 2-like	-	-
107277671	uncharacterized protein LOC107277671	-	-
107277672	uncharacterized LOC107277672	-	-
107277673	NAC domain-containing protein 41-like	-	-
107277679	glutamate receptor 2.1-like	-	-
4347869	uncharacterized protein LOC4347869	-	-
4350986	heterogeneous nuclear ribonucleoprotein 1	mRNA surveillance pathway - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa03015/image
4350987	1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00561/image
4350987	1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00564/image
4350987	1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4350987	1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4350984	putative F-box protein At4g05475	-	-
4350985	stress-associated endoplasmic reticulum protein 2	-	-
4350983	polyol transporter 5	-	-
107278538	uncharacterized LOC107278538	-	-
4350981	splicing factor U2af large subunit A	Spliceosome - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa03040/image
107278536	uncharacterized LOC107278536, transcript variant X1	-	-
107278537	uncharacterized LOC107278537, transcript variant X1	-	-
107278534	uncharacterized LOC107278534	-	-
107278535	uncharacterized LOC107278535	-	-
107278532	uncharacterized LOC107278532	-	-
4350988	GTPase Der	-	-
4350989	uncharacterized protein LOC4350989	-	-
107279661	uncharacterized protein LOC107279661	-	-
107279663	benzyl alcohol O-benzoyltransferase-like	-	-
107279662	uncharacterized protein LOC107279662	-	-
107279665	uncharacterized protein LOC107279665	-	-
107279664	uncharacterized protein LOC107279664	-	-
107279667	putative disease resistance RPP13-like protein 3	-	-
107279666	uncharacterized protein LOC107279666	-	-
107279669	uncharacterized protein LOC107279669	-	-
107279668	AAA-ATPase At3g28580-like	-	-
4327506	uncharacterized protein LOC4327506	-	-
4327507	peptidyl-prolyl cis-trans isomerase FKBP20-1	-	-
4327500	laccase-4	-	-
4327501	laccase-12/13-like	-	-
4327502	ATP-dependent zinc metalloprotease FTSH 3, mitochondrial	-	-
4339384	RING-H2 finger protein ATL67	-	-
4327508	probable protein S-acyltransferase 16	-	-
4327509	aspartic proteinase PCS1	-	-
4334817	tetraspanin-3	-	-
4346453	uncharacterized LOC4346453, transcript variant X1	-	-
4346452	leucine-rich repeat receptor-like kinase protein FLORAL ORGAN NUMBER1	-	-
4346451	uncharacterized LOC4346451, transcript variant X1	-	-
4346450	DNA-binding protein SMUBP-2 isoform X1	-	-
4346457	GDSL esterase/lipase At2g42990	-	-
4346456	multiple organellar RNA editing factor 8, chloroplastic/mitochondrial	-	-
4346455	GDSL esterase/lipase At4g26790	-	-
4346459	tropinone reductase-like 3	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4346459	tropinone reductase-like 3	Peroxisome - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04146/image
4346458	upstream activation factor subunit spp27	-	-
9272663	cyclin-C1-1	-	-
9272662	putative F-box/LRR-repeat protein At5g02700	-	-
9272665	uncharacterized protein LOC9272665	-	-
9272664	uncharacterized protein LOC9272664	-	-
4334269	TSL-kinase interacting protein 1 isoform X1	-	-
4334268	uncharacterized protein LOC4334268	-	-
4334265	L-type lectin-domain containing receptor kinase IV.1	-	-
4334267	uncharacterized protein LOC4334267	-	-
4334266	cytochrome c oxidase subunit 6a, mitochondrial	Oxidative phosphorylation - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00190/image
4334266	cytochrome c oxidase subunit 6a, mitochondrial	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4334261	homeobox protein knotted-1-like 8 isoform X1	-	-
4334260	transcription factor RAX3	-	-
4334263	uncharacterized LOC4334263, transcript variant X1	-	-
4344342	CBL-interacting protein kinase 3	-	-
107281914	lysine-rich arabinogalactan protein 19-like	-	-
107281915	uncharacterized protein LOC107281915	-	-
107281916	uncharacterized mitochondrial protein AtMg00810-like	-	-
107281917	uncharacterized protein LOC107281917	-	-
107281910	neuromodulin-like	-	-
4340858	probable helicase MAGATAMA 3	-	-
107281912	uncharacterized protein LOC107281912	-	-
107281913	50S ribosomal protein L2, chloroplastic-like	Ribosome - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa03010/image
4340855	probable helicase MAGATAMA 3	-	-
4340851	protein S-acyltransferase 11	-	-
4340850	protein HOMOLOG OF MAMMALIAN LYST-INTERACTING PROTEIN 5	Endocytosis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04144/image
4340853	putative BPI/LBP family protein At1g04970	-	-
4340852	uncharacterized protein LOC4340852	-	-
4343393	uncharacterized protein LOC4343393	-	-
4324826	glycerol-3-phosphate 2-O-acyltransferase 6	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00561/image
4324826	glycerol-3-phosphate 2-O-acyltransferase 6	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00564/image
4324826	glycerol-3-phosphate 2-O-acyltransferase 6	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4324826	glycerol-3-phosphate 2-O-acyltransferase 6	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4324827	uncharacterized protein LOC4324827	-	-
4324824	WUSCHEL-related homeobox 9	-	-
4324823	josephin-like protein	-	-
107280217	uncharacterized LOC107280217, transcript variant X1	-	-
4324820	transcription factor DIVARICATA	-	-
4349540	mitochondrial substrate carrier family protein C	-	-
4349541	uncharacterized protein LOC4349541	-	-
4349542	uncharacterized protein LOC4349542	-	-
4349543	uncharacterized protein LOC4349543	-	-
4349544	fatty acid desaturase DES3	-	-
4349545	protein trichome birefringence-like 28	-	-
4349546	clathrin heavy chain 1	Endocytosis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04144/image
4349547	probable calcium-binding protein CML25/26	Plant-pathogen interaction - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04626/image
4349548	mRNA turnover protein 4 homolog isoform X1	-	-
4328859	phosphoenolpyruvate carboxylase 1	Pyruvate metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00620/image
