geneID	Description	Pathway	Pathway_map
109945371	uncharacterized LOC109945371	-	-
103627767	E3 ubiquitin-protein ligase ATL31	-	-
103627765	blue copper protein	-	-
103627764	LMBR1 domain-containing protein 2 homolog A isoform X1	-	-
103627763	uncharacterized protein LOC103627763 isoform X1	-	-
103627762	protein EXORDIUM	-	-
103627761	lysine-specific histone demethylase 1 homolog 1	-	-
100303986	SC3 protein	-	-
109939566	uncharacterized LOC109939566	-	-
100275820	cl31997_1; uncharacterized protein LOC100275820	-	-
100275821	uncharacterized protein LOC100275821	-	-
107198085	uncharacterized protein LOC107198085	-	-
100275826	uncharacterized protein LOC100275826	-	-
100275827	uncharacterized protein LOC100275827	-	-
100275828	uncharacterized protein LOC100275828	-	-
100275829	uncharacterized protein LOC100275829	Endocytosis - Zea mays (maize)	http://rest.kegg.jp/get/zma04144/image
100857008	uncharacterized protein LOC100857008	-	-
103630847	COP9 signalosome complex subunit 3	-	-
111590402	U1 spliceosomal RNA	-	-
100857099	guanine-nucleotide-exchange protein	Endocytosis - Zea mays (maize)	http://rest.kegg.jp/get/zma04144/image
103647779	uncharacterized LOC103647779, transcript variant X1	-	-
100857097	acetylglucosaminyltransferase	-	-
103647775	uncharacterized protein LOC103647775 isoform X1	-	-
103647772	zinc finger CCCH domain-containing protein 43-like	-	-
103647773	uncharacterized LOC103647773	-	-
103630843	expansin-A6	-	-
103646821	uncharacterized LOC103646821	-	-
103646820	uncharacterized LOC103646820	-	-
103646825	uncharacterized protein LOC103646825	-	-
103646824	DNA-directed RNA polymerases II, IV and V subunit 9A	Purine metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00230/image
103646824	DNA-directed RNA polymerases II, IV and V subunit 9A	Pyrimidine metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00240/image
103646824	DNA-directed RNA polymerases II, IV and V subunit 9A	Metabolic pathways - Zea mays (maize)	http://rest.kegg.jp/get/zma01100/image
103646824	DNA-directed RNA polymerases II, IV and V subunit 9A	RNA polymerase - Zea mays (maize)	http://rest.kegg.jp/get/zma03020/image
103643859	uncharacterized protein LOC103643859	-	-
109945169	uncharacterized protein LOC109945169	-	-
103646829	probable RNA-dependent RNA polymerase 3	-	-
103643856	uncharacterized protein LOC103643856	-	-
103643855	protein ETHYLENE-INSENSITIVE 2	MAPK signaling pathway - plant - Zea mays (maize)	http://rest.kegg.jp/get/zma04016/image
103643855	protein ETHYLENE-INSENSITIVE 2	Plant hormone signal transduction - Zea mays (maize)	http://rest.kegg.jp/get/zma04075/image
103643854	histone-lysine N-methyltransferase ATXR3	Lysine degradation - Zea mays (maize)	http://rest.kegg.jp/get/zma00310/image
103643853	protein ALP1-like isoform X1	-	-
103643852	DEAD-box ATP-dependent RNA helicase 27	-	-
103643851	pescadillo homolog isoform X1	-	-
109944417	collagen alpha-1(I) chain-like	-	-
111590828	uncharacterized LOC111590828	-	-
103645819	uncharacterized LOC103645819	-	-
103644083	leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1	-	-
111590829	uncharacterized protein LOC111590829	-	-
103644087	cell number regulator 13-like	-	-
103644086	cell number regulator 13-like	-	-
103644089	pentatricopeptide repeat-containing protein At2g22070	-	-
103644088	uncharacterized LOC103644088	-	-
100273785	uncharacterized protein LOC100273785	-	-
109939605	uncharacterized protein LOC109939605	-	-
109939606	uncharacterized LOC109939606	-	-
109939600	uncharacterized LOC109939600	-	-
109939601	uncharacterized LOC109939601, transcript variant X1	-	-
109939602	uncharacterized LOC109939602	-	-
109939603	uncharacterized LOC109939603	-	-
109939609	leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1	-	-
103632950	NAC domain-containing protein 92	-	-
103652093	uncharacterized protein LOC103652093	-	-
103635667	LOW QUALITY PROTEIN: pre-rRNA-processing protein TSR1 homolog	-	-
103653162	uncharacterized LOC103653162, transcript variant X1	-	-
111590235	U2 spliceosomal RNA	-	-
103647190	pentatricopeptide repeat-containing protein At3g26782, mitochondrial	-	-
103647191	putative E3 ubiquitin-protein ligase RF4	-	-
103647196	DNA-directed RNA polymerase II subunit RPB2	Purine metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00230/image
103647196	DNA-directed RNA polymerase II subunit RPB2	Pyrimidine metabolism - Zea mays (maize)	http://rest.kegg.jp/get/zma00240/image
