geneID	Description	Pathway	Pathway_map
101233120	CHCHD7; coiled-coil-helix-coiled-coil-helix domain containing 7	-	-
100228888	POLR3E; RNA polymerase III subunit E	Purine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00230/image
100228888	POLR3E; RNA polymerase III subunit E	Pyrimidine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00240/image
100228888	POLR3E; RNA polymerase III subunit E	RNA polymerase - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03020/image
100228888	POLR3E; RNA polymerase III subunit E	Cytosolic DNA-sensing pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04623/image
100228889	RBFA; ribosome binding factor A (putative)	-	-
105760841	urea transporter 2-like	-	-
105760846	uncharacterized LOC105760846	-	-
100225468	STT3B; STT3B, catalytic subunit of the oligosaccharyltransferase complex	N-Glycan biosynthesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00510/image
100225468	STT3B; STT3B, catalytic subunit of the oligosaccharyltransferase complex	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100225468	STT3B; STT3B, catalytic subunit of the oligosaccharyltransferase complex	Protein processing in endoplasmic reticulum - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04141/image
105760844	uncharacterized protein C10orf95-like	-	-
105760845	HEMGN; hemogen	-	-
100225464	AP3B2; adaptor related protein complex 3 beta 2 subunit	Lysosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04142/image
100228882	PRPS2; phosphoribosyl pyrophosphate synthetase 2	Pentose phosphate pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00030/image
100228882	PRPS2; phosphoribosyl pyrophosphate synthetase 2	Purine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00230/image
100228882	PRPS2; phosphoribosyl pyrophosphate synthetase 2	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100228882	PRPS2; phosphoribosyl pyrophosphate synthetase 2	Carbon metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01200/image
100228882	PRPS2; phosphoribosyl pyrophosphate synthetase 2	Biosynthesis of amino acids - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01230/image
100225466	FAM185A; family with sequence similarity 185 member A	-	-
100225461	XCR1; X-C motif chemokine receptor 1	Cytokine-cytokine receptor interaction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04060/image
100228885	SIPA1L2; signal induced proliferation associated 1 like 2	-	-
100225463	NOD1; nucleotide binding oligomerization domain containing 1	NOD-like receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04621/image
100228887	TBC1D7; TBC1 domain family member 7	mTOR signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04150/image
100223856	IRF1; interferon regulatory factor 1	C-type lectin receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04625/image
100223854	RSU1; Ras suppressor protein 1	-	-
100223855	LAMA5; laminin subunit alpha 5	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100223855	LAMA5; laminin subunit alpha 5	Focal adhesion - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04510/image
100223855	LAMA5; laminin subunit alpha 5	ECM-receptor interaction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04512/image
100223853	ABCC8; ATP binding cassette subfamily C member 8	ABC transporters - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu02010/image
100223850	glucocorticoid receptor-like	-	-
100223851	NCF2; neutrophil cytosolic factor 2	Phagosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04145/image
101233185	ZNF648; zinc finger protein 648	-	-
100223858	protein C-ets-2	-	-
100223859	SMARCA5; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	-	-
100221569	MEF2A; myocyte enhancer factor 2A	Apelin signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04371/image
100221564	ENOPH1; enolase-phosphatase 1	Cysteine and methionine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00270/image
100221564	ENOPH1; enolase-phosphatase 1	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100222570	exosome component 10-like	-	-
100221566	RBPMS2; RNA binding protein with multiple splicing 2	-	-
100221567	CDCP1; CUB domain containing protein 1	-	-
100221560	cystine/glutamate transporter-like	Ferroptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04216/image
100221561	uncharacterized LOC100221561	-	-
100221562	SV2C; synaptic vesicle glycoprotein 2C	ECM-receptor interaction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04512/image
100190738	ribosomal protein L35-like	Ribosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03010/image
100190739	tubulin alpha-2 chain-like	Phagosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04145/image
100190739	tubulin alpha-2 chain-like	Apoptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04210/image
100190739	tubulin alpha-2 chain-like	Tight junction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04530/image
100190739	tubulin alpha-2 chain-like	Gap junction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04540/image
105760716	unconventional myosin-Ic-like	-	-
100190731	metallothionein II-like	-	-
100228772	USP4; ubiquitin specific peptidase 4	-	-
100190733	ATF4; activating transcription factor 4	MAPK signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04010/image
100190733	ATF4; activating transcription factor 4	Mitophagy - animal - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04137/image
100190733	ATF4; activating transcription factor 4	Protein processing in endoplasmic reticulum - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04141/image
100190733	ATF4; activating transcription factor 4	Apoptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04210/image
100190733	ATF4; activating transcription factor 4	Adrenergic signaling in cardiomyocytes - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04261/image
100190733	ATF4; activating transcription factor 4	GnRH signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04912/image
100190734	VPS29; VPS29, retromer complex component	Endocytosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04144/image
100232441	PRRX1; paired related homeobox 1	-	-
100190736	PPIA; peptidylprolyl isomerase A	Necroptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04217/image
100190737	SNRPD3; small nuclear ribonucleoprotein D3 polypeptide	Spliceosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03040/image
100225106	CFAP53, CCDC11; cilia and flagella associated protein 53	-	-
100220089	P2X purinoceptor 1-like	-	-
100221346	EGFLAM; EGF like, fibronectin type III and laminin G domains	-	-
101233206	FANCE; Fanconi anemia complementation group E	Fanconi anemia pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03460/image
105760309	APOF; apolipoprotein F	-	-
105760308	mitogen-activated protein kinase kinase kinase 13-like	-	-
100219339	CHRNA3; cholinergic receptor nicotinic alpha 3 subunit	Neuroactive ligand-receptor interaction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04080/image
100224412	SLC25A11; solute carrier family 25 member 11	-	-
100225289	uncharacterized LOC100225289	-	-
100225288	THOC3; THO complex 3	RNA transport - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03013/image
100225288	THOC3; THO complex 3	Spliceosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03040/image
100228770	feather keratin 1-like	-	-
105760304	uncharacterized LOC105760304	-	-
100225281	LYPD6B; LY6/PLAUR domain containing 6B	-	-
100225283	GJD4; gap junction protein delta 4	-	-
100225282	NEURL1B; neuralized E3 ubiquitin protein ligase 1B	-	-
100225285	MAPK9; mitogen-activated protein kinase 9	MAPK signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04010/image
100225285	MAPK9; mitogen-activated protein kinase 9	ErbB signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04012/image
100225285	MAPK9; mitogen-activated protein kinase 9	FoxO signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04068/image
100225285	MAPK9; mitogen-activated protein kinase 9	Mitophagy - animal - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04137/image
100225285	MAPK9; mitogen-activated protein kinase 9	Autophagy - animal - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04140/image
100225285	MAPK9; mitogen-activated protein kinase 9	Protein processing in endoplasmic reticulum - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04141/image
100225285	MAPK9; mitogen-activated protein kinase 9	Apoptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04210/image
100225285	MAPK9; mitogen-activated protein kinase 9	Necroptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04217/image
100225285	MAPK9; mitogen-activated protein kinase 9	Wnt signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04310/image
100225285	MAPK9; mitogen-activated protein kinase 9	Focal adhesion - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04510/image
100225285	MAPK9; mitogen-activated protein kinase 9	Tight junction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04530/image
100225285	MAPK9; mitogen-activated protein kinase 9	Toll-like receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04620/image
100225285	MAPK9; mitogen-activated protein kinase 9	NOD-like receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04621/image
100225285	MAPK9; mitogen-activated protein kinase 9	RIG-I-like receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04622/image
100225285	MAPK9; mitogen-activated protein kinase 9	C-type lectin receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04625/image
100225285	MAPK9; mitogen-activated protein kinase 9	Insulin signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04910/image
100225285	MAPK9; mitogen-activated protein kinase 9	GnRH signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04912/image
100225285	MAPK9; mitogen-activated protein kinase 9	Progesterone-mediated oocyte maturation - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04914/image
100225285	MAPK9; mitogen-activated protein kinase 9	Adipocytokine signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04920/image
100225285	MAPK9; mitogen-activated protein kinase 9	AGE-RAGE signaling pathway in diabetic complications - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04933/image
100225285	MAPK9; mitogen-activated protein kinase 9	Salmonella infection - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu05132/image
100225285	MAPK9; mitogen-activated protein kinase 9	Influenza A - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu05164/image
100225285	MAPK9; mitogen-activated protein kinase 9	Herpes simplex infection - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu05168/image
100225287	CEP70; centrosomal protein 70	-	-
100225286	fatty acyl-CoA hydrolase precursor, medium chain-like	-	-
105760306	spermatogenesis-associated protein 22-like	-	-
100190147	PITHD1; PITH domain containing 1	-	-
100231189	GCLM; glutamate-cysteine ligase modifier subunit	Cysteine and methionine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00270/image
100231189	GCLM; glutamate-cysteine ligase modifier subunit	Glutathione metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00480/image
100231189	GCLM; glutamate-cysteine ligase modifier subunit	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100231189	GCLM; glutamate-cysteine ligase modifier subunit	Ferroptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04216/image
100229028	zinc finger protein 208-like	-	-
100229759	KIF21B; kinesin family member 21B	-	-
100229758	EPB41L3; erythrocyte membrane protein band 4.1 like 3	-	-
101233181	uncharacterized LOC101233181	-	-
100223708	ATP5G3; ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)	Oxidative phosphorylation - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00190/image
100223708	ATP5G3; ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100223709	QRICH1; glutamine rich 1	-	-
100223706	uncharacterized LOC100223706	-	-
100229020	CLDN8; claudin-8	Cell adhesion molecules (CAMs) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04514/image
100229020	CLDN8; claudin-8	Tight junction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04530/image
100223704	MARCH4; membrane associated ring-CH-type finger 4	-	-
100229750	WARS2; tryptophanyl tRNA synthetase 2, mitochondrial	Aminoacyl-tRNA biosynthesis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00970/image
100223702	PSTPIP2; proline-serine-threonine phosphatase interacting protein 2	-	-
100229756	TMEM183A; transmembrane protein 183A	-	-
100229755	ATN1; atrophin 1	-	-
100229754	TCEA1; transcription elongation factor A1	-	-
100227023	ZDHHC7; zinc finger DHHC-type containing 7	-	-
100227022	IGSF21; immunoglobin superfamily member 21	-	-
100227021	WDR17; WD repeat domain 17	-	-
100227027	GBF1; golgi brefeldin A resistant guanine nucleotide exchange factor 1	Endocytosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04144/image
100227026	HYAL4; hyaluronidase-4	Glycosaminoglycan degradation - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00531/image
100227026	HYAL4; hyaluronidase-4	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100227025	SYTL3; synaptotagmin like 3	-	-
100227024	DNA polymerase kappa	Fanconi anemia pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu03460/image
100227029	FUT11; fucosyltransferase 11	-	-
100227028	KLHL17; kelch like family member 17	-	-
100534594	STON1; stonin 1	-	-
105760666	uncharacterized LOC105760666	-	-
100227221	GBAS; glioblastoma amplified sequence	-	-
105760664	endogenous retrovirus group K member 18 Pol protein-like	-	-
105760665	uncharacterized LOC105760665	-	-
105760662	LIM domain only protein 7-like	-	-
105760663	kinesin-like protein KIF16B	-	-
100222039	ATP6V0D2; ATPase H+ transporting V0 subunit d2	Oxidative phosphorylation - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00190/image
100222039	ATP6V0D2; ATPase H+ transporting V0 subunit d2	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100222039	ATP6V0D2; ATPase H+ transporting V0 subunit d2	Lysosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04142/image
100222039	ATP6V0D2; ATPase H+ transporting V0 subunit d2	Phagosome - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04145/image
100222038	CBX4; chromobox 4	-	-
100222037	KIDINS220; kinase D interacting substrate 220	-	-
100222036	GOLIM4; golgi integral membrane protein 4	-	-
100222035	AZIN1; antizyme inhibitor 1	-	-
100222034	NOV; nephroblastoma overexpressed	-	-
100231181	DNTTIP2; deoxynucleotidyltransferase terminal interacting protein 2	-	-
105760668	ubiquitin carboxyl-terminal hydrolase 25-like	-	-
100222030	MC2R; melanocortin 2 receptor	Neuroactive ligand-receptor interaction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04080/image
100190145	SLC25A5; solute carrier family 25 member 5	Calcium signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04020/image
100190145	SLC25A5; solute carrier family 25 member 5	Necroptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04217/image
100190145	SLC25A5; solute carrier family 25 member 5	Cellular senescence - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04218/image
100220209	OTUD7B; OTU deubiquitinase 7B	-	-
101233202	neuronal PAS domain-containing protein 2-like	-	-
105759979	zinc finger protein 135-like	-	-
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Calcium signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04020/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Phosphatidylinositol signaling system - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04070/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Oocyte meiosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04114/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Apoptosis - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04210/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Cellular senescence - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04218/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Vascular smooth muscle contraction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04270/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Apelin signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04371/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	Gap junction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04540/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	NOD-like receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04621/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	C-type lectin receptor signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04625/image
100227554	ITPR3; inositol 1,4,5-trisphosphate receptor type 3	GnRH signaling pathway - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04912/image
100227287	ACO2; aconitase 2	Citrate cycle (TCA cycle) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00020/image
100227287	ACO2; aconitase 2	Glyoxylate and dicarboxylate metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00630/image
100227287	ACO2; aconitase 2	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100227287	ACO2; aconitase 2	Carbon metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01200/image
100227287	ACO2; aconitase 2	2-Oxocarboxylic acid metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01210/image
100227287	ACO2; aconitase 2	Biosynthesis of amino acids - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01230/image
100227286	LZTS3; leucine zipper tumor suppressor family member 3	-	-
100227285	NECTIN1, PVRL1; nectin cell adhesion molecule 1	Cell adhesion molecules (CAMs) - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04514/image
100227285	NECTIN1, PVRL1; nectin cell adhesion molecule 1	Adherens junction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04520/image
100227285	NECTIN1, PVRL1; nectin cell adhesion molecule 1	Herpes simplex infection - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu05168/image
100227284	MTMR6; myotubularin related protein 6	Inositol phosphate metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00562/image
100227284	MTMR6; myotubularin related protein 6	Metabolic pathways - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu01100/image
100227284	MTMR6; myotubularin related protein 6	Phosphatidylinositol signaling system - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04070/image
100227283	SSTR3; somatostatin receptor 3	Neuroactive ligand-receptor interaction - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu04080/image
100232309	diacylglycerol O-acyltransferase 2-like	-	-
100227281	FAM118B; family with sequence similarity 118 member B	-	-
100227280	THSD1; thrombospondin type 1 domain containing 1	-	-
100232304	ADPRM; ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	Purine metabolism - Taeniopygia guttata (zebra finch)	http://rest.kegg.jp/get/tgu00230/image
