geneID	Description	Pathway	Pathway_map
Dmel_CG14076	Ir75d; ionotropic receptor 75d	-	-
Dmel_CG14071	CG14071; uncharacterized protein, isoform B	-	-
Dmel_CG10327	TBPH; TAR DNA-binding protein-43 homolog, isoform E	-	-
Dmel_CG2079	Dok; downstream of kinase	MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04013/image
Dmel_CG2078	Myd88; Myd88, isoform B	Toll and Imd signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04624/image
Dmel_CR31850	snRNA:U2:34ABa; small nuclear RNA U2 at 34AB a	RNA transport - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03013/image
Dmel_CR31850	snRNA:U2:34ABa; small nuclear RNA U2 at 34AB a	Spliceosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03040/image
Dmel_CR31853	snRNA:U5:34A; small nuclear RNA U5 at 34A	-	-
Dmel_CG10326	Arl6IP1; ADP-ribosylation factor-like 6 interacting protein 1, isoform B	-	-
Dmel_CR31854	snRNA:U2:34ABb; small nuclear RNA U2 at 34AB b	RNA transport - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03013/image
Dmel_CR31854	snRNA:U2:34ABb; small nuclear RNA U2 at 34AB b	Spliceosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03040/image
Dmel_CG4445	pgant3; polypeptide GalNAc transferase 3	Mucin type O-glycan biosynthesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00512/image
Dmel_CG4445	pgant3; polypeptide GalNAc transferase 3	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG44884	pre-mod(mdg4)-B; pre-mod(mdg4)-B, isoform A	-	-
Dmel_CG44881	pre-mod(mdg4)-P; pre-mod(mdg4)-P, isoform A	-	-
Dmel_CG44880	pre-mod(mdg4)-L; pre-mod(mdg4)-L, isoform A	-	-
Dmel_CG44883	pre-mod(mdg4)-I; pre-mod(mdg4)-I, isoform A	-	-
Dmel_CG44882	pre-mod(mdg4)-J; pre-mod(mdg4)-J, isoform A	-	-
Dmel_CG1167	Ras64B; Ras oncogene at 64B	Mitophagy - animal - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04137/image
Dmel_CG1167	Ras64B; Ras oncogene at 64B	Autophagy - animal - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04140/image
Dmel_CG15708	CG15708; uncharacterized protein	-	-
Dmel_CG6829	Dark; Death-associated APAF1-related killer, isoform B	Apoptosis - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04214/image
Dmel_CG6829	Dark; Death-associated APAF1-related killer, isoform B	Apoptosis - multiple species - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04215/image
Dmel_CG10958	CG10958; uncharacterized protein	-	-
Dmel_CG10959	CG10959; uncharacterized protein, isoform B	-	-
Dmel_CG6824	ovo; ovo, isoform E	-	-
Dmel_CG15705	CG15705; uncharacterized protein	-	-
Dmel_CG15706	CG15706; uncharacterized protein, isoform B	-	-
Dmel_CG15707	krimp; krimper	-	-
Dmel_CG10952	eag; ether a go-go, isoform A	-	-
Dmel_CG15701	CG15701; uncharacterized protein	-	-
Dmel_CG6790	CG6790; uncharacterized protein	-	-
Dmel_CG10951	niki; nimA-like kinase	-	-
Dmel_CR44256	CR44256	-	-
Dmel_CG13140	dpr19; defective proboscis extension response 19, isoform B	-	-
Dmel_CG4443	Ubc7; ubiquitin conjugating enzyme 7, isoform B	Ubiquitin mediated proteolysis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04120/image
Dmel_CG4443	Ubc7; ubiquitin conjugating enzyme 7, isoform B	Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04141/image
Dmel_CG14259	CG14259; uncharacterized protein	-	-
Dmel_CG14258	CG14258; uncharacterized protein	-	-
Dmel_CG13079	Tep5; Thioester-containing protein 5	-	-
Dmel_CG14251	ms(3)K81; male sterile (3) K81	-	-
Dmel_CG14250	TwdlQ; TweedleQ	-	-
Dmel_CG14253	CG14253; uncharacterized protein, isoform F	-	-
Dmel_CG14252	CG14252; uncharacterized protein	-	-
Dmel_CG5585	Rbbp5; retinoblastoma binding protein 5	-	-
Dmel_CG14254	TwdlC; TweedleC	-	-
