geneID	Description	Pathway	Pathway_map
PHAVU_001G100100g	hypothetical protein	Pyrimidine metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00240/image
PHAVU_007G267600g	hypothetical protein	-	-
PHAVU_006G079100g	hypothetical protein	Cyanoamino acid metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00460/image
PHAVU_006G079100g	hypothetical protein	Glucosinolate biosynthesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00966/image
PHAVU_006G079100g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_006G079100g	hypothetical protein	2-Oxocarboxylic acid metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01210/image
PHAVU_010G097300g	hypothetical protein	-	-
PHAVU_005G053900g	hypothetical protein	Glutathione metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00480/image
PHAVU_007G185500g	hypothetical protein	-	-
PHAVU_008G193000g	hypothetical protein	-	-
PHAVU_001G234800g	hypothetical protein	Tropane, piperidine and pyridine alkaloid biosynthesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00960/image
PHAVU_001G234800g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_001G234800g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_006G039900g	hypothetical protein	-	-
PHAVU_011G039400g	hypothetical protein	Starch and sucrose metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00500/image
PHAVU_011G039400g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_008G105900g	hypothetical protein	-	-
PHAVU_001G159000g	hypothetical protein	-	-
PHAVU_001G266600g	hypothetical protein	Glycine, serine and threonine metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00260/image
PHAVU_001G266600g	hypothetical protein	Cyanoamino acid metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00460/image
PHAVU_001G266600g	hypothetical protein	Glyoxylate and dicarboxylate metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00630/image
PHAVU_001G266600g	hypothetical protein	One carbon pool by folate - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00670/image
PHAVU_001G266600g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_001G266600g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_001G266600g	hypothetical protein	Carbon metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01200/image
PHAVU_001G266600g	hypothetical protein	Biosynthesis of amino acids - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01230/image
PHAVU_007G097200g	hypothetical protein	-	-
PHAVU_010G070400g	hypothetical protein	-	-
PHAVU_002G117800g	hypothetical protein	-	-
PHAVU_009G241600g	hypothetical protein	-	-
PHAVU_008G029600g	hypothetical protein	-	-
PHAVU_001G060300g	hypothetical protein	-	-
PHAVU_001G103200g	hypothetical protein	-	-
PHAVU_003G104800g	hypothetical protein	-	-
PHAVU_003G061800g	hypothetical protein	-	-
PHAVU_002G197900g	hypothetical protein	-	-
PHAVU_002G293500g	hypothetical protein	-	-
PHAVU_003G130400g	hypothetical protein	-	-
PHAVU_004G148500g	hypothetical protein	-	-
PHAVU_003G148400g	hypothetical protein	-	-
PHAVU_001G034700g	hypothetical protein	-	-
PHAVU_010G158600g	hypothetical protein	-	-
PHAVU_010G056800g	hypothetical protein	RNA degradation - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03018/image
PHAVU_008G061900g	hypothetical protein	-	-
PHAVU_003G102500g	hypothetical protein	-	-
PHAVU_001G008600g	hypothetical protein	Spliceosome - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03040/image
PHAVU_008G166900g	hypothetical protein	Inositol phosphate metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00562/image
PHAVU_008G166900g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_008G166900g	hypothetical protein	Phosphatidylinositol signaling system - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04070/image
PHAVU_008G166900g	hypothetical protein	Endocytosis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04144/image
PHAVU_005G174000g	hypothetical protein	-	-
PHAVU_008G230500g	hypothetical protein	-	-
PHAVU_001G196400g	hypothetical protein	SNARE interactions in vesicular transport - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04130/image
PHAVU_007G138500g	hypothetical protein	-	-
PHAVU_006G153200g	hypothetical protein	-	-
PHAVU_009G236000g	hypothetical protein	-	-
PHAVU_001G257200g	hypothetical protein	-	-
PHAVU_004G072300g	hypothetical protein	-	-
PHAVU_011G038100g	hypothetical protein	-	-
PHAVU_007G089700g	hypothetical protein	-	-
PHAVU_001G158500g	hypothetical protein	-	-
PHAVU_008G172800g	hypothetical protein	-	-
PHAVU_002G168200g	hypothetical protein	-	-
PHAVU_004G169400g	hypothetical protein	-	-
PHAVU_005G0020000	hypothetical protein	Mismatch repair - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03430/image
PHAVU_005G0020001	hypothetical protein	-	-
PHAVU_006G155500g	hypothetical protein	-	-
PHAVU_006G197500g	hypothetical protein	MAPK signaling pathway - plant - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04016/image
PHAVU_006G197500g	hypothetical protein	Plant hormone signal transduction - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04075/image
PHAVU_006G197500g	hypothetical protein	Plant-pathogen interaction - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04626/image
PHAVU_009G113200g	hypothetical protein	-	-
PHAVU_008G066100g	hypothetical protein	-	-
PHAVU_004G0710001	hypothetical protein	-	-
PHAVU_004G0710000	hypothetical protein	Base excision repair - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03410/image
PHAVU_004G0710000	hypothetical protein	Non-homologous end-joining - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03450/image
PHAVU_002G035900g	hypothetical protein	-	-
PHAVU_011G151600g	hypothetical protein	Autophagy - other - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04136/image
PHAVU_008G1993001	hypothetical protein	-	-
PHAVU_008G1993000	hypothetical protein	-	-
PHAVU_010G153000g	hypothetical protein	-	-
PHAVU_004G057600g	hypothetical protein	Glycolysis / Gluconeogenesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00010/image
PHAVU_004G057600g	hypothetical protein	Carbon fixation in photosynthetic organisms - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00710/image
PHAVU_004G057600g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_004G057600g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_004G057600g	hypothetical protein	Carbon metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01200/image
PHAVU_004G057600g	hypothetical protein	Biosynthesis of amino acids - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01230/image
PHAVU_009G184100g	hypothetical protein	-	-
PHAVU_001G003000g	hypothetical protein	-	-
PHAVU_006G001700g	hypothetical protein	-	-
PHAVU_010G036900g	hypothetical protein	-	-
PHAVU_001G258800g	hypothetical protein	-	-
PHAVU_002G158000g	hypothetical protein	-	-
PHAVU_006G154800g	hypothetical protein	-	-
PHAVU_009G149000g	hypothetical protein	Ribosome - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03010/image
PHAVU_009G223400g	hypothetical protein	-	-
PHAVU_001G012100g	hypothetical protein	-	-
PHAVU_003G158700g	hypothetical protein	-	-
